	Facility #	Facility Name	Facility Name Overflow	Facility Street	Owner Name 	Owner Name Overflow	Business Type	Original Issuance Date	Last Renewal Date	Expiration Date
17902	3470361	BETTER BODY WORKS   	                    	111 NOTT TERRACE    	UNIFIED AUTO &      	EQUIPMENT INC       	RSB	01/26/1981	08/19/2020	08/31/2022
17903	7119749	BIG PIMPIN CYCLES   	                    	1671 CRANE ST 1B    	BRIAN K HUBBS       	                    	RS 	07/21/2015		06/30/2017
17904	7106160	BOBS TRANSMISSION   	SERVICE INC         	1016 PRINCETOWN RD  	JEROME M EGNOR      	                    	RS 	05/15/2008	03/17/2020	04/30/2022
17905	7117956	BRIAN J CAR REPAIR  	LLC                 	743 STRONG STREET   	VINOD JAGNATH       	                    	RS 	06/17/2014	05/29/2020	05/31/2022
17906	7122897	BROADWAY AUTOCARE   	CENTER LLC          	1902 BROADWAY       	AUGUSTUS AMASHA     	                    	RS 	09/19/2017	06/14/2019	08/31/2021
17907	3470314	BROADWAY SERV       	                    	1270 BROADWAY       	CHRIS DOULIDES      	                    	RS 	07/03/1981	06/02/2015	06/30/2017
17908	7121157	BROADWAY USED TIRE  	OF SCHENECTADY INC  	1471 BROADWAY       	JAMES CRISPINO      	                    	RS 	06/24/2016	08/14/2018	05/31/2020
17909	7119551	BROADWAY USED TIRES 	INC                 	1471 BROADWAY       	LOUIS CRISPINO      	                    	RS 	06/10/2015		05/31/2017
17910	7091604	BURNS AUTO CENTER   	                    	401 BROADWAY        	BRIAN A BURNS       	                    	RS 	02/04/2002	12/19/2019	01/31/2022
17911	7124152	CALIBER COLLISION   	CENTERS             	1741 & 1751 STATE ST	CALIBER BODYWORKS   	OF NEW YORK LLC     	RSB	07/18/2018	04/23/2020	06/30/2022
17912	7120365	CAPITAL DISTRICT    	TRUCK CENTER        	3800 STATE STREET   	JUST IN RIDES LLC   	                    	RS 	12/18/2015	03/26/2018	11/30/2019
17913	7116408	CAPITAL REGION CARS 	INC                 	1732 STATE STREET   	DAVID J BROWN       	                    	RS 	08/06/2018	06/28/2019	07/31/2021
17914	7090469	CAPPYS BODY WORKS   	                    	1505 STATE ST       	PAUL CAPRARA        	                    	RSB	07/20/2001	12/10/2019	06/30/2021
17915	3470011	CARMAN BODY WORKS   	INC                 	1951 HAMBURG ST     	MILDRED VALACHOVIC  	                    	RSB	07/22/1981	05/14/2019	06/30/2021
17916	7024769	CARMAN SERVICE      	CENTER INC          	2025 CHRISLER AVE   	KENNETH R MILLER    	                    	RS 	02/24/1984	01/30/2020	01/31/2022
17917	7072686	CARUSOS AUTO REPAIR 	INC                 	1310 HELDERBERG AVE 	JOEL M CARUSO       	                    	RS 	11/13/1995	08/21/2019	10/31/2021
17918	3470333	CH AUTOMOTIVE       	                    	558 NOTRE DAME ST   	CHRIS A HAAKE       	                    	RS 	02/08/1978	11/20/2019	12/31/2021
17919	7126777	CHRISLER AUTOMOTIVE 	CENTER              	1170 CHRISLER AVENUE	PAUL M CONSTABLE    	ETAL                	RS 	02/26/2020		01/31/2022
17920	7100857	CHRISTOPHER TIRE INC	                    	1717 UNION ST       	CHRISTOPHER J MCCALL	                    	RS 	12/13/2005	10/19/2015	11/30/2017
17921	7035225	CITY GLASS CO 1068  	CURRY ROAD INC DIV  	1068 CURRY RD       	BRIAN S AMELL       	                    	RS 	06/20/1986	04/24/2020	05/31/2022
17922	7069746	CITY LINE MOTOR CARS	                    	2040 STATE ST       	DANIEL LUTZ         	                    	RS 	05/19/2009	03/06/2013	02/28/2015
17923	7117106	C JAYS AUTO SERVICE 	AND SALES LLC       	1221 ALBANY ST      	SHAUN JAMEEL ALI    	                    	RS 	12/26/2013	02/07/2018	11/30/2019
17924	7085701	CLIFFS AUTO REPAIR  	SERVICE LLC         	2251 GUILDERLAND AV 	CLIFFORD J STUART JR	                    	RS 	09/15/1999	08/01/2017	08/31/2019
17925	7075491	COLLISION EXPERTS   	AUTO COLLISN CTR INC	1751 STATE ST       	MARYANN R BOWMAN    	                    	RSB	08/02/1996	06/10/2014	07/31/2016
17926	7070352	COLONIE MECHANICS   	INC                 	2085 CENTRAL AVE    	YEVGENY BRUSILOVSKY 	                    	RS 	04/14/1995	03/13/2017	03/31/2019
17927	7118005	CUSTOM TIRE AND     	BATTERY LTD         	3361 S THMPSN ST A  	JOSEPH N PUPELLO    	                    	RS 	06/25/2014	04/24/2020	05/31/2022
17928	7023076	CYRULIKS REPAIR     	SHOP                	738 CRANE ST        	WIESLAW CYRULIK     	                    	RS 	10/05/1983	10/09/2015	09/30/2017
17929	7067214	DAN KARLS GARAGE LLC	                    	965 RIVER RD        	DANIEL J KARL       	                    	RS 	06/13/1994	07/01/2020	05/31/2022
17930	7117285	DAVIS BROS AUTO     	CENTER LLC          	3080 CARMAN RD      	SCOTT H DAVIS       	                    	RS 	01/30/2014		12/31/2015
17931	7114769	DEVINES AUTO REPAIR 	                    	2040 STATE STREET   	JOHN DEVINE         	                    	RS 	09/20/2012	08/24/2020	08/31/2022
17932	3470323	DICKS AUTOMOTIVE    	SERVICES            	1033 STRONG ST      	RICHARD J RIVERS    	                    	RSB	11/01/1979	09/24/2013	10/31/2015
17933	7123407	DREAMAUTOS LLC      	                    	1025 ALTAMONT AVE   	RALPH PILLOTT III   	                    	RS 	12/28/2017	11/18/2019	11/30/2021
17934	7104298	ELECTRIC CITY MOTORS	                    	2048 STATE ST       	STEFANO CIANFARANI  	                    	RS 	06/25/2007	05/31/2019	05/31/2021
17935	7109496	ENVY AUTOWERKS      	                    	3800 STATE STREET   	PATRICIA L TRALONGO 	                    	RS 	12/23/2009	10/22/2015	11/30/2017
17936	7109339	ESI                 	                    	118 ERIE BLVD       	NO MAGIC NEON INC   	                    	RS 	11/23/2009	10/30/2013	10/31/2015
17937	7111285	EUROPEAN AUTO SALES 	                    	1475 STATE STREET   	VELINOV ENTERPRISES 	LLC                 	RS 	11/16/2010	10/31/2018	10/31/2020
17938	7094347	FAMILY AUTO REPAIR  	                    	1146 CATALYN STREET 	LUIGI A SGUEGLIA    	                    	RS 	03/13/2003	01/31/2019	02/28/2021
17939	7102208	FLASHPOINT ROAD     	SERVICE INC         	711 ROTTRDM IND PK 7	JOSEPH S CARPENTER  	                    	RS 	08/02/2006	06/10/2020	07/31/2022
17940	7055272	FORT HUNTER SERVICE 	INC                 	3605 CARMAN RD      	ROBERT J NORTON     	                    	RS 	05/22/1991	03/07/2013	04/30/2015
17941	7119780	FTR TRUCK AND AUTO  	LLC                 	707 KINGS RD BLDG 4 	ERIC J VANDENBURGH  	                    	RS 	07/24/2015	06/14/2019	06/30/2021
17942	7071765	FUCCILLO HYUNDAI    	                    	4101 STATE ST       	FUCCILLO LINCOLN INC	                    	RS 	08/21/1995	05/30/2019	07/31/2021
17943	7107042	FUCCILLO KIA        	                    	3900 STATE STREET   	FUCCILLO VENTURES   	INC                 	RS 	10/15/2008	07/13/2020	09/30/2022
17944	7116270	FUCCILLO VOLKSWAGEN 	OF SCHENECTADY      	2240 CENTRAL AVENUE 	BFJ ENTERPRISES INC 	                    	RS 	07/05/2013	05/15/2019	06/30/2021
17945	7023313	GARY HARLAN         	                    	1764 STATE STREET   	GARY HARLAN         	                    	RSB	10/18/1983	08/08/2019	09/30/2021
17946	7067670	G&M AUTO TECH INC   	                    	1505 STATE ST       	ROBERT GARBELLANO   	                    	RS 	08/05/1994	06/12/2020	07/31/2022
17947	3470028	GOLUB CORP          	                    	501 DUANESBURG RD   	NEIL GOULB          	                    	RS 	06/03/1981	06/14/2019	06/30/2021
17948	7126165	GONZALEZ AUTO REPAIR	                    	2418 BROADWAY       	ERIC GONZALEZ       	                    	RS 	09/24/2019		08/31/2021
17949	7048016	GOODYEAR AUTO       	SERVICE CENTER      	3713 STATE ST       	GOODYEAR TIRE &     	RUBBER CO           	RS 	06/05/1989	05/01/2019	05/31/2021
17950	7068616	GRIFFIN MOTORSPORTS 	INC                 	3909 STATE ST       	RONALD E GRIFFIN    	                    	RS 	01/31/1996	09/11/2020	09/30/2022
17951	7069765	GUILDERLAND MOBIL   	SERVICE             	3903 CARMAN RD      	GUILDERLAND MOBIL   	INC                 	RS 	02/09/1995	01/15/2019	01/31/2021
17952	7103092	HARIS SERVICE CENTER	                    	2339 TROY SCHDY RD  	HARINDER S KINGRA   	                    	RS 	12/12/2006	08/19/2020	09/30/2022
17953	3470047	HIGHBRIDGE MOBIL    	                    	2212 CENTRAL AVE    	WALTER C JASKOT     	                    	RS 	06/25/1981	07/01/2019	06/30/2021
17954	7118931	HUNGRY HILL AUTO    	                    	1916 BROADWAY       	ANDREW P ASKEW      	                    	RS 	01/14/2015	12/18/2018	12/31/2020
17955	7118799	H&V COLLISION CENTER	                    	1751 STATE STREET   	H&V AUTO BODY INC   	                    	RS 	12/05/2014	09/29/2016	11/30/2018
17956	7114943	INTERSTATE NORTHEAST	INC                 	104 OLD MILL LA     	DANNY L RUBIN II    	                    	RS 	10/19/2012	09/30/2020	09/30/2022
17957	7038317	JAMES GREEN         	                    	BLDG 5 ROTTDM IND PK	JAMES GREEN         	                    	RS 	03/26/1987	01/24/2019	02/28/2021
17958	7075205	JAYS CERTIFIED AUTO 	REPAIR              	2001 CHRISLER AVE   	JASON COLWELL       	                    	RS 	06/28/1996	04/24/2020	05/31/2022
17959	3470241	JIMS SUNOCO         	                    	1555 BROADWAY       	JAMES CZUB          	                    	RS 	10/04/1993	07/12/2019	09/30/2021
17960	7099264	JJS AUTO SERVICE    	                    	3821 STATE ST       	JAMES J SCHMIDBAUER 	                    	RS 	04/01/2005	04/11/2017	03/31/2019
17961	7119648	J&M USED TIRES &    	SMALL ENGINE REPAIRS	2141 BROADWAY       	ARLENE DIAZ         	                    	RS 	07/07/2015	06/24/2019	06/30/2021
17962	7083381	JOHNS AUTO CENTER   	                    	1116 HELDERBERG AVE 	JOHN J GURREN       	                    	RS 	12/21/1998	10/02/2020	11/30/2022
17963	7023834	JOHNS AUTO REPAIR   	                    	2532 CURRY RD       	JOHN A CAFFARELLA JR	                    	RS 	12/01/1983	12/09/2019	11/30/2021
17964	7001196	JOHNS AUTO SERVICE  	INC                 	580 CONSALUS AV     	JOHN BELLAI         	                    	RS 	07/07/1981	05/14/2019	06/30/2021
17965	7006274	JOHNS BODY SHOP     	                    	1750 CHRISLER AV    	JOHN MCGINNIS ETAL  	                    	RSB	11/14/2011	08/28/2019	10/31/2021
17966	7043324	JOHN T HUNTER MOTOR 	SALES               	485 HULETT ST       	JOHN T HUNTER       	                    	RS 	04/28/1988	02/04/2020	03/31/2022
17967	3470060	JOJOS AUTO SERVICE  	                    	423 UNION ST        	JOSEPH ALBANESE     	                    	RS 	05/28/1981	05/14/2019	06/30/2021
17968	3470225	JOSEPH SANVGIOVANNI 	IN THE ESTATE OF    	1734 BROADWAY       	JOHN SANGIOVANNI    	                    	RSB	07/06/1981	04/30/2019	06/30/2021
17969	7123753	J SMITTY AUTOMOTIVE 	INC                 	1563 STATE ST BLDG3C	JOSH SMITH          	                    	RSB	04/03/2018	03/24/2020	03/31/2022
17970	7086515	JVP AUTO SALES      	                    	4 WEDGEWOOD HTS     	JAYSON JEFFREY      	VAN PATTEN          	RS 	01/21/2000	12/31/2015	12/31/2017
17971	7088425	KEN PIENIAZEKS BODY 	SHOP                	2331 GUILDERLAND AV 	KEN PIENIAZEK       	                    	RSB	09/21/2000	07/29/2014	08/31/2016
17972	7115188	KID 2 AUTO COLLISION	INC                 	729 BROADWAY        	NARESHWAR           	CHATTERGOON         	RSB	12/05/2012	10/03/2018	11/30/2020
17973	7126461	KINGS ROYALTY GARAGE	INC                 	1137 CUTLER STREET  	JEFFERY WRIGHT      	                    	RS 	12/12/2019		11/30/2021
17974	7108984	K&N AUTOMOTIVE INC  	                    	2155 BROADWAY       	KENNETH J BOBAR     	                    	RS 	09/21/2009	08/07/2017	08/31/2019
17975	7075617	KOMPS QUALITY AUTO  	WORKS               	816 BROADWAY        	MICHAEL R KOMP      	                    	RS 	08/14/1996	06/10/2020	07/31/2022
17976	7107740	KRISS AUTO REPAIR   	INC                 	1429 STATE STREET   	KRISTOPHER MAHADAN  	                    	RS 	02/12/2009	01/29/2019	01/31/2021
17977	7117593	KTMAUTOMOTIVE       	                    	1671-73 CRANE STREET	ROBERT E PURDY      	                    	RS 	04/03/2014		03/31/2016
17978	7009552	KURT QUINN MOBILE   	REPAIR SHOP         	1617 UPPER GREGG RD 	KURT QUINN          	                    	RS 	03/23/1983	01/24/2019	02/28/2021
17979	7031779	LAROSAS AUTOMOTIVE  	INC                 	1100 ALTAMONT AVE   	THOMAS F LAROSAS    	                    	RS 	09/27/1985	06/26/2019	08/31/2021
17980	7119857	LEROY HOLDING CO INC	                    	158 CORDELL ROAD    	WILLIAM J CARSON    	                    	RS 	08/13/2015		07/31/2017
17981	3470433	LIA NISSAN          	                    	2233 CENTRAL        	CENTRAL NISSAN LTD  	                    	RS 	01/12/1981	10/13/2020	12/31/2022
17982	7114530	LIA SCHENECTADY CJDR	LLC                 	2116 CENTRAL AVENUE 	WILLIAM F LIA       	                    	RS 	08/08/2012	05/29/2020	07/31/2022
17983	3010714	LIA TOYOTA OF       	COLONIE             	2116 CENTRAL AV     	COLONIE IMPORT      	DISTRIBUTORS LTD    	RS 	09/25/1979	01/07/2019	01/31/2021
17984	7117828	LIA USED CARS       	                    	2116 CENTRAL AVENUE 	LIA SCHENECTADY CJDR	LLC                 	RS 	05/28/2014	02/22/2016	04/30/2018
17985	7095410	LIEDKIE MOVING &    	STORAGE INC         	2696 CURRY RD       	RICKY J RUMSEY      	                    	RS 	08/06/2003	07/22/2019	07/31/2021
17986	7069643	MAACO AUTO PAINTING 	AND BODYWORKS       	1741 CHRISLER AVE   	1741 CHRISLER CORP  	                    	RSB	11/08/2001	08/20/2019	10/31/2021
17987	7088386	MANCINI COLLISION   	INC                 	2331 GUILDERLAND AVE	ANTHONY MANCINI     	                    	RSB	09/20/2000	07/03/2020	08/31/2022
17988	7081578	MARSHALL AUTOMOTIVE 	SERVICES            	1744 CHRISLER AV    	MICHAEL T FILKINS   	                    	RS 	06/05/1998	05/06/2020	05/31/2022
17989	7082362	MATTICES SERVICE    	STATION             	1025 ALTAMONT AV    	RICHARD F RUSSELL JR	                    	RS 	08/11/1998	07/25/2016	07/31/2018
17990	7107110	MAVIS DISCOUNT TIRE 	                    	3434 STATE STREET   	MAVIS TIRE SUPPLY   	LLC                 	RS 	10/27/2008	09/14/2020	09/30/2022
17991	7119978	MAVIS DISCOUNT TIRE 	                    	1705 CHRISLER AVENUE	MAVIS TIRE SUPPLY   	LLC                 	RS 	09/11/2015	08/07/2019	08/31/2021
17992	7107271	MAVIS DISCOUNT TIRE 	                    	1598 STATE STREET   	MAVIS TIRE SUPPLY   	LLC                 	RS 	12/05/2008	11/21/2018	11/30/2020
17993	7088671	MCGREGOR AUTO       	SERVICE             	1015 ERIE BLVD      	GNW AUTO & SALES INC	                    	RS 	11/10/2000	09/23/2020	10/31/2022
17994	7075252	M DEPAULA           	                    	1 WEDGEWOOD HTS     	MICHAEL DEPAULA     	                    	RS 	07/08/1996	06/11/2020	06/30/2022
17995	3470418	METRO FORD SALES INC	                    	3601 STATE ST       	DAVID J DARIANO     	                    	RS 	08/06/1980	06/15/2020	07/31/2022
17996	7084402	MIDAS AUTO SERVICE  	EXPERTS             	1597 STATE ST       	721 SCHENECTADY AUTO	CENTER LTD          	RS 	04/08/1999	03/15/2019	03/31/2021
17997	7116117	MIDLAND AUTO        	SALES & SERVICE     	1302 STATE STREET   	SAMARYA MOTORS INC  	                    	RS 	06/13/2013		05/31/2015
17998	3470203	MIKES MERCEDES      	SERVICE             	349 ANTHONY ST      	MICHAEL W CYDYLO    	                    	RS 	07/27/1981	05/23/2019	06/30/2021
17999	7099848	M&M MOTORS          	                    	1656 DUANESBURG RD  	MERTON VAN WIE      	                    	RS 	06/30/2005	05/27/2015	05/31/2017
18000	7120971	M&M MOTORS          	                    	1656 DUANESBURG ROAD	MICHAEL S HAYDEN    	                    	RS 	05/09/2016	04/27/2020	04/30/2022
18001	7054911	MOHAWK AUTO SALES   	INC                 	756 STATE STREET    	JEFFREY A HARADEN   	                    	RS 	11/18/2005	02/26/2019	03/31/2021
18002	3470338	MONRO MUFFLER BRAKE 	                    	1702 CHRSLR&ALTAMONT	MONRO INC           	                    	RS 	03/11/1980	01/31/2020	01/31/2022
18003	7095884	MURRAYS AUTO SHOP   	                    	1705 FOSTER AVE     	BRUCE MURRAY        	                    	RS 	10/10/2003	09/14/2019	09/30/2021
18004	7111390	NATES GARAGE        	                    	1857 STATE STREET   	PAMELA BELANGER     	                    	RS 	12/02/2010	11/25/2014	11/30/2016
18005	7121602	NATES GARAGE II     	                    	2452 ALBANY STREET  	MEGAN M BAMBARA     	                    	RS 	11/02/2016	09/20/2018	10/31/2020
18006	7077009	NEALS AUTO ENHANCING	                    	2127 CENTRAL AVE    	NEAL A MAYLATH      	                    	RS 	01/24/1997	11/05/2018	12/31/2020
18007	7110305	NEEDHAM AND SMITH   	AUTOMOTIVE          	670 CONSAULUS AVENUE	DENNIS C NEEDHAM    	ET AL               	RS 	05/17/2010	03/13/2020	04/30/2022
18008	3470389	NEMETHS AUTO REPAIR 	                    	1170 CHRISLER AV    	STEVE C NEMETH JR   	                    	RS 	04/03/1995	05/24/2017	06/30/2019
18009	7125362	NEXT LEVEL AUTO     	                    	296 ALTAMONT AVE    	KEVIN PERSAUD       	                    	RS 	04/01/2019		03/31/2021
18010	7122048	NGR TIRE & AUTO     	SERVICE LLC         	1330 STATE STREET   	MOHAMMAD BARAK      	                    	RS 	02/23/2017	01/24/2019	01/31/2021
18011	7101964	NISKAYUNA GLASS     	                    	2166 RD EXT         	NEW WAY GENERAL     	CONSTRUCTION INC    	RS 	06/07/2006	07/01/2020	05/31/2022
18012	7034327	NISKAYUNA TIRE &    	SERVICE CENTER INC  	1501 BALLTOWN RD    	WILLIAM B HAMILTON  	                    	RS 	04/29/1986	01/16/2018	03/31/2020
18013	7091336	NOTT STREET AUTO    	SERVICE             	717 NOTT ST         	DEMASI COMPANY INC  	THE                 	RS 	12/19/2001	10/10/2019	11/30/2021
18014	7094170	OLD STATE ROAD      	MOTORCAR SERVICE    	3023 E OLD STATE RD 	TIMOTHY H COTON     	                    	RS 	02/10/2003	12/06/2018	01/31/2021
18015	7113679	OMLINS AUTO SALES & 	SERVICE LLC         	1040 CLIMAX AVENUE  	MICHAEL E HILICUS   	                    	RS 	03/09/2012	02/28/2020	02/28/2022
18016	3470140	OPITZ TRANSMISSIONS 	INC                 	2165 VANVRANKEN AVE 	STEPHEN HOPKINS     	                    	RS 	06/30/1981	06/12/2019	06/30/2021
18017	7120591	PATS BROADWAY       	SERVICE             	1270 BROADWAY       	PATRICK J HEIGEL    	                    	RS 	02/08/2016	01/14/2020	01/31/2022
18018	7047530	PCI DISTRIBUTORS INC	                    	360 MAY AV          	RICHARD G WALTER    	                    	RS 	04/19/1989	03/04/2019	03/31/2021
18019	7000108	PCW RACING          	                    	112 HENRY ST        	JOHN H GANEY        	                    	RS 	03/11/1981	02/10/2017	02/28/2019
18020	7042522	P&D BODY SHOP       	                    	1156 BARRETT ST     	PAUL CALIFANO       	                    	RSB	02/26/1988	12/10/2019	01/31/2022
18021	7111985	PERFORMANCE AUTO    	REPAIR INC          	323 DUANE AVENUE    	MINTRANIE GOCOOL    	                    	RS 	04/27/2011	02/05/2019	03/31/2021
18022	7101319	PETES AUTO INC      	                    	130 EDISON AVE      	TAMMIE BETH FANFA   	                    	RS 	03/08/2006	02/25/2020	02/28/2022
18023	7076389	PHILS BODY SHOP     	                    	521 CONGRESS ST     	ARTHUR P GAMACHE    	ETAL                	RS 	11/18/1996	09/21/2018	10/31/2020
18024	7113796	PINKERTONS AUTO     	REPAIR              	205 MARSHALL AVENUE 	WAYNE A PINKERTON   	                    	RS 	04/23/2012	02/04/2020	03/31/2022
18025	7069906	PLV INTERNATIONAL   	                    	1475-79 STATE ST    	PETER VELINOV       	                    	RS 	01/19/1996	02/14/2019	02/28/2021
18026	7105297	PRIME AUTO SALES AND	SERVICE INC         	1857 STATE ST STE 1 	ROCCO W ROTUNDO     	                    	RS 	12/28/2007	12/01/2017	11/30/2019
18027	7122560	PRIME AUTO SALES LLC	                    	1853 STATE STREET   	ANGELA A COKER      	                    	RS 	08/02/2017	08/05/2019	07/31/2021
18028	7106609	PRK                 	                    	96 PASHLEY ROAD     	KARL R PRITCHARD    	                    	RS 	07/25/2008	06/23/2020	06/30/2022
18029	7052137	PRO AUTOMOTIVE      	                    	1821 STATE STREET   	RICHARD C MAZURYK   	                    	RS 	07/19/1990	05/02/2020	06/30/2022
18030	7121226	QUALITY MOTORS      	                    	2040 STATE ST       	DAVID STRICOS       	                    	RS 	07/13/2016		06/30/2018
18031	7118527	QUICK LANE TIRE&AUTO	CENTER OF SCHENECTDY	3631 STATE STREET   	METRO FORD SALES INC	                    	RS 	10/09/2014	08/20/2020	09/30/2022
18032	7070295	RALPHS BODY SERVICE 	                    	2970 GUILDERLAND AVE	RALPH CAPRARA       	                    	RSB	04/14/1995	02/21/2019	03/31/2021
18033	7103812	RED BEAR REPAIR     	                    	1288A PANGBURN ROAD 	MICHAEL A NERNEY    	                    	RS 	04/12/2007	03/04/2015	03/31/2017
18034	7024975	RICHARD W MASON SR  	                    	2920 BROADWAY       	RICHARD W MASON SR  	                    	RS 	09/12/1991	07/15/2019	08/31/2021
18035	7081012	R&J AUTO REPAIR     	                    	828 STATE ST        	RINALDO DI LEGGE INC	                    	RS 	04/01/1998	03/05/2020	03/31/2022
18036	7083091	RJ COONS AUTOMOTIVE 	INC                 	670 CONSALUS AVENUE 	RICHARD J COONS     	                    	RS 	10/28/1998	10/04/2018	09/30/2020
18037	7105220	RNF AUTO REPAIRS INC	                    	132 S BRANDYWINE AVE	IMTIAZ M YACOOB     	                    	RS 	12/12/2007	11/22/2019	11/30/2021
18038	7082386	RONNIE & SONS       	                    	1887 STATE ST       	RAMASE S DHANESSUR  	                    	RSB	08/17/1998	06/12/2020	07/31/2022
18039	7117735	ROSLUND AUTO BODY   	REPAIR              	3361 SO THOMPSON ST 	ROBERT ROSLUND JR   	                    	RSB	05/07/2014	05/06/2020	04/30/2022
18040	3470059	ROTTERDAM AUTO SERV 	                    	417 WEST SIDE AVE   	JOHN J KWIATROWSKI  	                    	RSB	07/27/1981	06/11/2015	06/30/2017
18041	7111624	SARCHIOTOS AUTO     	REPAIR              	2734 GUILDERLAND AVE	ROBERT M SARCHIOTO  	                    	RS 	01/28/2011	11/29/2018	12/31/2020
18042	7001895	SCHENECTADY AUTO    	SERVICE INC         	2401 VAN VRANKEN AVE	NICHOLAS FALVO      	                    	RS 	09/22/1981	06/26/2019	08/31/2021
18043	7101478	SCOTTS QUALITY CARE 	SERVICE             	146 ERIE BOULEVARD  	SCOTT CORNELIUS     	                    	RS 	03/31/2006	01/29/2020	02/28/2022
18044	7015727	SEVERINO POPOLIZIO  	                    	1650 ERIE BLV       	SEVERINO POPOLIZIO  	                    	RS 	10/27/2017	12/31/2018	01/31/2021
18045	7121554	SHAHANI MOTORS LLC  	                    	1518A BRADLEY ST    	ABDULLAH SHAHANI    	                    	RS 	10/25/2016	09/11/2020	09/30/2022
18046	7118914	SHARP CUSTOMS       	                    	1433 FERN AVE       	JOHN C CULLAM       	                    	RS 	01/05/2015	11/29/2018	12/31/2020
18047	7040666	SMITHS AUTOMOTIVE   	                    	2867 AQUEDUCT RD    	CHARLES H SMITH JR  	                    	RS 	09/29/1987	06/25/2019	08/31/2021
18048	7118773	S&S AUTO REPAIR     	                    	1331 ALBANY STREET  	SURESH SUKHU        	                    	RS 	11/25/2014	10/09/2020	10/31/2022
18049	3470142	STATE AUTOMATIC     	TRANSMISSIONS       	1883 STATE ST       	MARK A ALLARD ETAL  	                    	RS 	01/24/2013	02/08/2019	12/31/2020
18050	7118824	STATE STREET AUTO   	SALES & SERVICE INC 	1302 STATE STREET   	DAVID M MATIN       	                    	RS 	12/15/2014	11/18/2016	11/30/2018
18051	7124334	STATE STREET AUTOFIX	INC                 	1302 STATE ST       	MUHAMMAD ZAHIRHASEED	KHAN                	RS 	08/10/2018	05/08/2020	07/31/2022
18052	7111080	STRONG ST AUTO      	                    	885 STRONG STREET   	FAIZOOL BACCHUS     	                    	RS 	10/06/2010	07/27/2020	09/30/2022
18053	7109292	SUNS AUTO BODY AND  	MECHANICAL REPAIR   	800 BROADWAY        	RAMDAT PERSAUD      	                    	RSB	11/17/2009	11/19/2013	10/31/2015
18054	3470108	SUPERIOR BODY WORKS 	                    	1581 FOSTER AVE     	WILLIAM BULSON      	                    	RSB	06/05/1981	07/01/2019	06/30/2021
18055	7097868	TABER MOTORSPORTS   	                    	588 REYNOLDS RD     	JEFFREY A TABER     	                    	RS 	09/09/2004	08/09/2016	08/31/2018
18056	7117365	TENDER LOVING CARE &	THE JOY OF CRING LLC	2418 BROADWAY FL1   	KODJO AKLASSOU-GANA 	                    	RS 	02/24/2014	01/12/2018	01/31/2020
18057	7116261	THOMPSON AUTO MALL  	LLC                 	296 ALTAMONT AVENUE 	SHANIQUA L THOMPSON 	                    	RS 	07/29/2013		06/30/2015
18058	7120428	TIRE WAREHOUSE OF   	NORTH COUNTRY INC   	1717 UNION STREET   	JOHN MCCALL         	                    	RS 	01/07/2016	12/27/2017	12/31/2019
18059	7092968	TJS AUTO SALES      	                    	556 NOTRE DAME ST   	TIMOTHY J ASKEW     	                    	RS 	01/10/2003	07/21/2020	07/31/2022
18060	7042871	TONYS BROADWAY AUTO 	REPAIR INC          	2511 BROADWAY       	ANTHONY N TOTE      	                    	RS 	03/18/1988	01/29/2020	02/28/2022
18061	7102789	TOOLEYS TOWING      	                    	463 SUMMER AVE      	JOHN W TOOLEY       	                    	RS 	09/23/2009	10/13/2020	09/30/2022
18062	7123221	TRI CITY AUTO GLASS 	                    	2736 CURRYBUSH RD   	BRANDON BROWN       	                    	RS 	11/16/2017		10/31/2019
18063	7122638	TRINIBOY AUTO REPAIR	LLC                 	1112 CATALYN ST UN 2	RAMESH CHUNILAL     	                    	RS 	08/11/2017	05/06/2019	07/31/2021
18064	3470035	TULLOCKS SERVICE STA	                    	1501 UNION ST       	RICHARD B TULLOCK   	                    	RS 	07/22/1981	04/15/2013	06/30/2015
18065	7118540	UNIFORMITY SPORT    	GEAR                	1401 ERIE BLVD STE 1	ANGELO CASCHERA     	                    	RS 	05/02/2019	09/11/2020	09/30/2022
18066	7112840	UNITED AUTO CLINIC  	LLC                 	1 GIFFORD ROAD      	DAVID GAPEZYNSKI JR 	                    	RSB	09/14/2011	06/24/2019	08/31/2021
18067	7115991	UPHORIC CREATIONS   	INC                 	1137 CUTLER STREET  	JEFFERY SOLIVAN     	                    	RS 	05/22/2013	04/21/2017	04/30/2019
18068	7121716	UPSTATE AUTO REPAIRS	INC                 	815 EASTERN AVENUE  	SEADATH VIJAIKUMER  	                    	RS 	11/21/2016		10/31/2018
18069	7082024	VALVOLINE INSTANT   	OIL CHANGE          	1066 ALTAMONT AV    	GALENA ASSOCIATES   	INC                 	RS 	07/24/1998	06/26/2018	06/30/2020
18070	7120572	VALVOLINE INSTANT   	OIL CHANGE          	1779 CRANE STREET   	GALENA ASSOCIATES   	LLC                 	RS 	02/04/2016	12/27/2019	01/31/2022
18071	7106151	VESPA SCHENECTADY   	                    	1401 ERIE BLVD      	ROCCO CASCHERA      	                    	RSB	09/09/2008	05/16/2018	04/30/2020
18072	3470238	VILLANO BROS        	                    	550 NOTRE DAME ST   	ANTHONY VILLANO ETAL	                    	RS 	07/15/1981	06/12/2019	06/30/2021
